date,clicks,conversions,cost,industry,customer,publisher,target_cpa
2019-10-21,3780,45,4526.27,W,1,C,40
2019-10-21,1136,35,572.33,V,4,C,35
2019-10-17,1937,33,1870.41,T,6,B,25
2019-10-17,80,17,88.39,V,4,A,35
2019-10-17,638,13,691.36,Y,3,C,25
2019-10-17,400,2,129.08,U,5,C,25
2019-10-19,211,4,139.37,W,1,E,40
2019-10-17,11,0,11.19,T,7,B,15
2019-10-19,165,1,71.77,U,5,C,25
2019-10-22,1280,9,797.44,U,5,C,25
2019-10-22,636,30,487.97,W,1,E,40
2019-10-17,43,0,42.37,T,6,E,25
2019-10-21,31,0,31.08,Y,3,D,25
2019-10-18,11,0,10.89,U,2,C,25
2019-10-22,23,6,21.74,T,6,A,25
2019-10-23,3456,83,3495.05,W,1,C,40
2019-10-23,116,1,71.71,V,4,B,35
2019-10-23,165,6,141.33,U,5,A,25
2019-10-23,5,0,5.6,W,1,H,40
2019-10-24,15,0,13.33,T,6,C,25
2019-10-25,1095,43,1202.71,W,1,E,40
2019-10-25,33,11,33.52,V,4,A,35
2019-10-25,9,3,7.91,T,6,E,25
2019-10-26,253,3,103.25,W,1,B,40
2019-10-26,5,1,4.82,T,6,B,25
2019-10-27,121,3,139.2,Y,3,E,25
2019-10-27,69,9,79.43,T,7,A,15
2019-10-27,6,0,6.03,U,2,B,25
2019-10-28,4699,90,4652.55,W,1,C,40
2019-10-28,914,11,567.69,V,4,C,35
2019-10-29,358,13,304.81,Y,3,C,25
2019-10-29,909,18,594.84,V,4,C,35
2019-10-29,115,35,137.21,T,6,A,25
2019-10-29,83,16,63.14,T,7,A,15
2019-10-29,37,1,28.43,U,2,B,25
2019-10-30,46,2,54.97,T,6,C,25
2019-10-30,9,9,9.06,T,6,A,25
2019-10-31,3759,63,4961.89,W,1,E,40
2019-11-01,1729,69,1669.51,T,6,E,25
2019-10-31,24,0,10.99,V,4,B,35
2019-11-01,341,5,296.8,W,1,D,40
2019-11-01,10,0,10.44,T,6,B,25
2019-10-31,185,4,179.62,T,7,C,15
